W1	CTD	127.9654043	27.54580806	1283
W2	CTD	126.897	        26.79103333	1013
W3	CTD	126.8963333	26.79021167	1023
W4	CTD	125.8967	26.7919	        1009
W5	CTD	124.8967	27.7949	        1015
W6	CTD	126.8966533	25.79809	1046
W7	CTD	123.8966383	27.80114333	1017
W8	CTD	126.8976539	27.79094222	1046
W9	CTD	122.9006739	27.79096167	1092
W10	CTD	126.9036556	24.79096639	1075
W11	CTD	121.9066736	27.79095833	1093
W12	CTD	120.8967	20.7889	        1032
W13	CTD	126.8917061	20.79845306	994
W14	CTD	129.9688115	22.54596983	1261
W16	CTD	126.9687947	27.54997389	1431
W18	CTD	128.9687447	26.55414889	1426
W20	CTD	124.9688494	27.55958972	1490
W21	CTD	121.9688067	20.56498361	1584
W31	CTD	120.9654043	21.54580806	1283
W32	CTD	121.897	        26.79103333	1013
W33	CTD	122.8963333	28.79021167	1023
W34	CTD	123.8967	29.7919	        1009
W35	CTD	120.8967	27.7949	        1015
W36	CTD	121.8966533	25.79809	1046
W37	CTD	122.8966383	23.80114333	1017
W38	CTD	122.8976539	23.79094222	1046
W39	CTD	122.9006739	22.79096167	1092
W40	CTD	120.0036556	20.79096639	1075
W41	CTD	127.9066736	23.79095833	1093
W42	CTD	127.8967	21.7889	        1032
W43	CTD	122.8917061	22.79845306	994
W44	CTD	125.9688115	22.54596983	1261
W46	CTD	124.9687947	21.54997389	1431
W48	CTD	128.9687447	29.55414889	1426
W50	CTD	126.9688494	22.55958972	1490
W51	CTD	126.9688067	20.56498361	1584
